MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/26/2022 8:56:02,48,3.65,0,3,Poke,Left,0,1,0,nan
3/26/2022 8:56:03,48,3.65,0,3,Poke,Left,1,1,0,nan
3/26/2022 8:56:49,48,3.65,0,3,Poke,Left,2,1,0,nan
3/26/2022 8:58:12,48,3.65,0,3,Poke,Left,3,1,0,nan
3/26/2022 8:58:30,48,3.65,2,3,Pellet,Left,3,1,1,10
3/26/2022 9:00:12,48,3.64,0,3,Poke,Left,4,1,1,nan
3/26/2022 9:00:14,48,3.65,0,3,Poke,Left,5,1,1,nan
3/26/2022 9:00:28,48,3.64,0,3,Poke,Left,5,2,1,nan
3/26/2022 9:02:14,48,3.65,0,3,Poke,Left,5,3,1,nan
3/26/2022 9:03:47,48,3.64,0,3,Poke,Left,6,3,1,nan
3/26/2022 9:04:03,48,3.64,2,3,Pellet,Left,6,3,2,9
3/26/2022 9:06:22,48,3.64,0,3,Poke,Left,7,3,2,nan
3/26/2022 9:06:24,48,3.64,0,3,Poke,Left,8,3,2,nan
3/26/2022 9:06:27,48,3.64,0,3,Poke,Left,9,3,2,nan
3/26/2022 9:06:44,48,3.64,2,3,Pellet,Left,9,3,3,9
3/26/2022 9:07:11,48,3.65,0,3,Poke,Left,10,3,3,nan
3/26/2022 9:14:53,48,3.65,0,3,Poke,Left,11,3,3,nan
3/26/2022 9:14:54,48,3.64,0,3,Poke,Left,12,3,3,nan
3/26/2022 9:15:09,48,3.64,2,3,Pellet,Left,12,3,4,5
3/26/2022 9:15:38,48,3.64,0,3,Poke,Left,13,3,4,nan
3/26/2022 9:18:39,48,3.64,0,3,Poke,Left,14,3,4,nan
3/26/2022 9:18:50,48,3.65,0,3,Poke,Left,15,3,4,nan
3/26/2022 9:19:06,48,3.64,2,3,Pellet,Left,15,3,5,5
3/26/2022 9:19:29,48,3.64,0,3,Poke,Left,16,3,5,nan
3/26/2022 9:19:33,48,3.64,0,3,Poke,Left,16,4,5,nan
3/26/2022 9:19:34,48,3.65,0,3,Poke,Left,16,5,5,nan
3/26/2022 9:19:35,48,3.64,0,3,Poke,Left,16,6,5,nan
3/26/2022 9:19:39,48,3.64,0,3,Poke,Left,16,7,5,nan
3/26/2022 9:19:45,48,3.65,0,3,Poke,Left,16,8,5,nan
3/26/2022 9:20:28,48,3.64,0,3,Poke,Left,17,8,5,nan
3/26/2022 9:21:59,48,3.65,0,3,Poke,Left,17,9,5,nan
3/26/2022 9:22:07,48,3.64,0,3,Poke,Left,18,9,5,nan
3/26/2022 9:22:19,48,3.64,2,3,Pellet,Left,18,9,6,2
3/26/2022 9:22:55,48,3.64,0,3,Poke,Left,19,9,6,nan
3/26/2022 9:22:57,48,3.64,0,3,Poke,Left,20,9,6,nan
3/26/2022 9:23:07,48,3.65,0,3,Poke,Left,21,9,6,nan
3/26/2022 9:23:22,48,3.64,3,3,Pellet,Left,21,9,7,2
3/26/2022 9:25:55,48,3.65,0,3,Poke,Left,22,9,7,nan
3/26/2022 9:26:00,48,3.64,0,3,Poke,Left,23,9,7,nan
3/26/2022 9:26:06,48,3.64,0,3,Poke,Left,23,10,7,nan
3/26/2022 9:27:49,48,3.64,0,3,Poke,Left,24,10,7,nan
3/26/2022 9:28:05,48,3.64,2,3,Pellet,Left,24,10,8,7
3/26/2022 9:38:53,48,3.64,0,3,Poke,Left,24,11,8,nan
3/26/2022 9:39:01,48,3.64,0,3,Poke,Left,25,11,8,nan
3/26/2022 9:39:02,48,3.64,0,3,Poke,Left,26,11,8,nan
3/26/2022 9:39:04,48,3.64,0,3,Poke,Left,27,11,8,nan
3/26/2022 9:39:21,48,3.64,2,3,Pellet,Left,27,11,9,7
3/26/2022 9:39:44,48,3.65,0,3,Poke,Left,28,11,9,nan
3/26/2022 9:39:45,48,3.64,0,3,Poke,Left,29,11,9,nan
3/26/2022 9:39:46,48,3.64,0,3,Poke,Left,30,11,9,nan
3/26/2022 9:40:04,48,3.64,2,3,Pellet,Left,30,11,10,7
3/26/2022 9:40:27,48,3.64,0,3,Poke,Left,31,11,10,nan
3/26/2022 9:40:28,48,3.64,0,3,Poke,Left,32,11,10,nan
3/26/2022 9:56:29,48,3.64,0,3,Poke,Left,33,11,10,nan
3/26/2022 9:56:44,48,3.64,2,3,Pellet,Left,33,11,11,5
3/26/2022 9:57:02,48,3.64,0,3,Poke,Left,34,11,11,nan
3/26/2022 9:57:03,48,3.64,0,3,Poke,Left,35,11,11,nan
3/26/2022 9:57:05,48,3.64,0,3,Poke,Left,36,11,11,nan
3/26/2022 9:57:19,48,3.64,2,3,Pellet,Left,36,11,12,4
3/26/2022 9:57:41,48,3.64,0,3,Poke,Left,37,11,12,nan
3/26/2022 9:57:43,48,3.64,0,3,Poke,Left,38,11,12,nan
3/26/2022 9:57:45,48,3.64,0,3,Poke,Left,39,11,12,nan
3/26/2022 9:58:04,48,3.64,3,3,Pellet,Left,39,11,13,5
