MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
5/10/2040 1:18:16,48,3.73,0,1,Poke,Left,0,1,0,nan
5/10/2040 1:18:17,48,3.72,0,1,Poke,Left,1,1,0,nan
5/10/2040 1:19:47,48,3.72,1,1,Pellet,Left,1,1,1,84
5/10/2040 1:20:24,48,3.72,0,1,Poke,Left,1,2,1,nan
5/10/2040 1:21:55,48,3.73,0,1,Poke,Left,1,3,1,nan
5/10/2040 1:22:33,48,3.72,0,1,Poke,Left,2,3,1,nan
5/10/2040 1:22:42,48,3.72,2,1,Pellet,Left,2,3,2,1
5/10/2040 1:22:47,48,3.73,0,1,Poke,Left,3,3,2,nan
5/10/2040 1:23:50,48,3.73,1,1,Pellet,Left,3,3,3,37
5/10/2040 1:24:11,48,3.73,0,1,Poke,Left,3,4,3,nan
5/10/2040 1:24:15,48,3.73,0,1,Poke,Left,4,4,3,nan
5/10/2040 1:24:22,48,3.71,1,1,Pellet,Left,4,4,4,1
5/10/2040 1:29:29,48,3.73,0,1,Poke,Left,4,5,4,nan
5/10/2040 1:34:26,48,3.72,0,1,Poke,Left,5,5,4,nan
5/10/2040 1:34:38,48,3.71,2,1,Pellet,Left,5,5,5,1
5/10/2040 1:35:50,48,3.72,0,1,Poke,Left,6,5,5,nan
5/10/2040 1:35:56,48,3.71,1,1,Pellet,Left,6,5,6,2
5/10/2040 1:38:14,48,3.72,0,1,Poke,Left,6,6,6,nan
5/10/2040 1:39:11,48,3.72,0,1,Poke,Left,6,7,6,nan
5/10/2040 1:41:35,48,3.72,0,1,Poke,Left,6,8,6,nan
5/10/2040 1:41:39,48,3.71,0,1,Poke,Left,7,8,6,nan
5/10/2040 1:42:09,48,3.71,2,1,Pellet,Left,7,8,7,21
5/10/2040 1:45:12,48,3.71,0,1,Poke,Left,7,9,7,nan
5/10/2040 1:45:15,48,3.71,0,1,Poke,Left,8,9,7,nan
5/10/2040 1:45:25,48,3.71,2,1,Pellet,Left,8,9,8,3
5/10/2040 1:49:09,48,3.71,0,1,Poke,Left,8,10,8,nan
5/10/2040 1:49:12,48,3.71,0,1,Poke,Left,9,10,8,nan
5/10/2040 1:49:28,48,3.71,1,1,Pellet,Left,9,10,9,10
5/10/2040 1:57:07,48,3.71,0,1,Poke,Left,10,10,9,nan
5/10/2040 1:57:14,48,3.71,1,1,Pellet,Left,10,10,10,1
5/10/2040 2:01:49,48,3.71,0,1,Poke,Left,11,10,10,nan
5/10/2040 2:03:15,48,3.71,3,1,Pellet,Left,11,10,11,69
5/10/2040 2:04:13,48,3.72,0,1,Poke,Left,11,11,11,nan
5/10/2040 2:05:51,48,3.71,0,1,Poke,Left,12,11,11,nan
5/10/2040 2:05:58,48,3.71,1,1,Pellet,Left,12,11,12,1
5/10/2040 2:06:49,48,3.71,0,1,Poke,Left,13,11,12,nan
5/10/2040 2:07:08,48,3.71,3,1,Pellet,Left,13,11,13,9
5/10/2040 2:10:23,48,3.72,0,1,Poke,Left,13,12,13,nan
5/10/2040 2:10:32,48,3.71,0,1,Poke,Left,13,13,13,nan
5/10/2040 2:17:10,48,3.71,0,1,Poke,Left,14,13,13,nan
5/10/2040 2:17:17,48,3.71,1,1,Pellet,Left,14,13,14,2
5/10/2040 2:17:43,48,3.71,0,1,Poke,Left,15,13,14,nan
5/10/2040 2:17:51,48,3.71,1,1,Pellet,Left,15,13,15,2
5/10/2040 2:18:46,48,3.71,0,1,Poke,Left,16,13,15,nan
5/10/2040 2:19:01,48,3.71,2,1,Pellet,Left,16,13,16,6
5/10/2040 2:20:56,48,3.71,0,1,Poke,Left,17,13,16,nan
5/10/2040 2:21:01,48,3.71,1,1,Pellet,Left,17,13,17,1
5/10/2040 2:21:24,48,3.71,0,1,Poke,Left,18,13,17,nan
5/10/2040 2:21:31,48,3.71,1,1,Pellet,Left,18,13,18,2
5/10/2040 2:22:18,48,3.71,0,1,Poke,Left,19,13,18,nan
5/10/2040 2:22:27,48,3.71,1,1,Pellet,Left,19,13,19,1
5/10/2040 2:22:57,48,3.71,0,1,Poke,Left,20,13,19,nan
5/10/2040 2:23:20,48,3.71,1,1,Pellet,Left,20,13,20,20
5/10/2040 2:23:52,48,3.71,0,1,Poke,Left,20,14,20,nan
5/10/2040 2:23:58,48,3.71,0,1,Poke,Left,21,14,20,nan
5/10/2040 2:24:05,48,3.71,1,1,Pellet,Left,21,14,21,2
5/10/2040 2:24:20,48,3.71,0,1,Poke,Left,21,15,21,nan
5/10/2040 2:24:22,48,3.71,0,1,Poke,Left,21,16,21,nan
5/10/2040 2:24:25,48,3.71,0,1,Poke,Left,22,16,21,nan
5/10/2040 2:24:33,48,3.71,1,1,Pellet,Left,22,16,22,2
5/10/2040 2:24:45,48,3.71,0,1,Poke,Left,23,16,22,nan
5/10/2040 2:24:53,48,3.71,1,1,Pellet,Left,23,16,23,2
5/10/2040 2:25:32,48,3.71,0,1,Poke,Left,24,16,23,nan
5/10/2040 2:25:41,48,3.71,1,1,Pellet,Left,24,16,24,2
5/10/2040 2:26:15,48,3.71,0,1,Poke,Left,25,16,24,nan
5/10/2040 2:26:25,48,3.71,1,1,Pellet,Left,25,16,25,4
5/10/2040 2:26:30,48,3.71,0,1,Poke,Left,26,16,25,nan
5/10/2040 2:26:36,48,3.71,1,1,Pellet,Left,26,16,26,2
5/10/2040 2:26:41,48,3.71,0,1,Poke,Left,27,16,26,nan
5/10/2040 2:26:54,48,3.71,1,1,Pellet,Left,27,16,27,9
5/10/2040 2:37:40,48,3.71,0,1,Poke,Left,28,16,27,nan
5/10/2040 2:37:50,48,3.71,3,1,Pellet,Left,28,16,28,2
5/10/2040 2:37:57,48,3.71,0,1,Poke,Left,29,16,28,nan
5/10/2040 2:38:04,48,3.71,1,1,Pellet,Left,29,16,29,2
5/10/2040 2:39:07,48,3.71,0,1,Poke,Left,30,16,29,nan
5/10/2040 2:39:28,48,3.70,3,1,Pellet,Left,30,16,30,7
5/10/2040 2:39:42,48,3.70,0,1,Poke,Left,31,16,30,nan
5/10/2040 2:42:31,48,3.70,1,1,Pellet,Left,31,16,31,164
5/10/2040 2:42:43,48,3.71,0,1,Poke,Left,31,17,31,nan
5/10/2040 2:42:45,48,3.71,0,1,Poke,Left,32,17,31,nan
5/10/2040 2:42:53,48,3.71,1,1,Pellet,Left,32,17,32,4
5/10/2040 2:43:40,48,3.71,0,1,Poke,Left,32,18,32,nan
5/10/2040 2:43:45,48,3.71,0,1,Poke,Left,33,18,32,nan
5/10/2040 2:43:51,48,3.71,1,1,Pellet,Left,33,18,33,2
5/10/2040 2:45:50,48,3.71,0,1,Poke,Left,34,18,33,nan
5/10/2040 2:47:55,48,3.71,2,1,Pellet,Left,34,18,34,13
5/10/2040 2:48:37,48,3.71,0,1,Poke,Left,35,18,34,nan
5/10/2040 2:48:48,48,3.70,2,1,Pellet,Left,35,18,35,1
5/10/2040 2:49:32,48,3.71,0,1,Poke,Left,36,18,35,nan
5/10/2040 2:49:53,48,3.71,1,1,Pellet,Left,36,18,36,14
5/10/2040 2:51:59,48,3.70,0,1,Poke,Left,37,18,36,nan
5/10/2040 2:53:28,48,3.70,2,1,Pellet,Left,37,18,37,5
5/10/2040 2:53:57,48,3.71,0,1,Poke,Left,37,19,37,nan
5/10/2040 2:54:01,48,3.71,0,1,Poke,Left,38,19,37,nan
5/10/2040 2:54:11,48,3.70,1,1,Pellet,Left,38,19,38,3
5/10/2040 2:57:16,48,3.70,0,1,Poke,Left,39,19,38,nan
5/10/2040 2:57:53,48,3.70,2,1,Pellet,Left,39,19,39,30
5/10/2040 2:59:17,48,3.71,0,1,Poke,Left,40,19,39,nan
5/10/2040 3:00:40,48,3.71,3,1,Pellet,Left,40,19,40,4
5/10/2040 3:00:43,48,3.70,0,1,Poke,Left,41,19,40,nan
5/10/2040 3:00:50,48,3.70,1,1,Pellet,Left,41,19,41,1
5/10/2040 3:01:05,48,3.70,0,1,Poke,Left,41,20,41,nan
5/10/2040 3:02:51,48,3.71,0,1,Poke,Left,42,20,41,nan
5/10/2040 3:02:57,48,3.70,1,1,Pellet,Left,42,20,42,1
5/10/2040 3:04:47,48,3.71,0,1,Poke,Left,43,20,42,nan
5/10/2040 3:04:54,48,3.71,1,1,Pellet,Left,43,20,43,2
5/10/2040 3:05:08,48,3.71,0,1,Poke,Left,44,20,43,nan
5/10/2040 3:13:18,48,3.71,4,1,Pellet,Left,44,20,44,11
5/10/2040 3:19:08,48,3.70,0,1,Poke,Left,45,20,44,nan
5/10/2040 3:19:54,48,3.70,2,1,Pellet,Left,45,20,45,39
5/10/2040 3:27:17,48,3.70,0,1,Poke,Left,46,20,45,nan
5/10/2040 3:27:49,48,3.70,2,1,Pellet,Left,46,20,46,22
5/10/2040 3:28:56,48,3.69,0,1,Poke,Left,47,20,46,nan
5/10/2040 3:29:04,48,3.70,1,1,Pellet,Left,47,20,47,2
5/10/2040 3:31:36,48,3.71,0,1,Poke,Left,48,20,47,nan
5/10/2040 3:31:41,48,3.70,1,1,Pellet,Left,48,20,48,1
5/10/2040 3:32:33,48,3.70,0,1,Poke,Left,48,21,48,nan
5/10/2040 3:32:39,48,3.70,0,1,Poke,Left,48,22,48,nan
5/10/2040 3:32:49,48,3.70,0,1,Poke,Left,49,22,48,nan
5/10/2040 3:33:02,48,3.70,1,1,Pellet,Left,49,22,49,3
5/10/2040 3:33:37,48,3.69,0,1,Poke,Left,49,23,49,nan
5/10/2040 3:33:41,48,3.70,0,1,Poke,Left,49,24,49,nan
5/10/2040 3:33:50,48,3.70,0,1,Poke,Left,50,24,49,nan
5/10/2040 3:34:17,48,3.69,3,1,Pellet,Left,50,24,50,15
