MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
3/14/2022 9:26:54,45,3.94,0,1,Poke,Left,0,1,0,nan
3/14/2022 9:26:55,45,3.94,0,1,Poke,Left,1,1,0,nan
3/14/2022 9:28:01,45,3.94,1,1,Pellet,Left,1,1,1,61
3/14/2022 9:29:05,45,3.94,0,1,Poke,Left,2,1,1,nan
3/14/2022 9:29:21,45,3.94,3,1,Pellet,Left,2,1,2,2
3/14/2022 9:34:07,45,3.94,0,1,Poke,Left,2,2,2,nan
3/14/2022 9:35:05,45,3.94,0,1,Poke,Left,3,2,2,nan
3/14/2022 9:35:24,45,3.94,2,1,Pellet,Left,3,2,3,8
3/14/2022 9:40:29,45,3.94,0,1,Poke,Left,3,3,3,nan
3/14/2022 9:41:34,45,3.94,0,1,Poke,Left,4,3,3,nan
3/14/2022 9:41:40,45,3.94,1,1,Poke,Left,4,3,4,nan
3/14/2022 9:42:19,45,3.94,0,1,Poke,Left,5,3,4,nan
3/14/2022 9:42:26,45,3.94,1,1,Pellet,Left,5,3,5,1
3/14/2022 9:45:16,45,3.94,0,1,Poke,Left,6,3,5,nan
3/14/2022 9:45:35,45,3.94,2,1,Pellet,Left,6,3,6,8
3/14/2022 9:51:49,45,3.94,0,1,Poke,Left,6,4,6,nan
3/14/2022 9:52:12,45,3.94,0,1,Poke,Left,7,4,6,nan
3/14/2022 9:52:20,45,3.93,1,1,Pellet,Left,7,4,7,2
3/14/2022 9:53:24,45,3.94,0,1,Poke,Left,8,4,7,nan
3/14/2022 9:53:42,45,3.94,2,1,Pellet,Left,8,4,8,9
3/14/2022 9:57:48,45,3.94,0,1,Poke,Left,9,4,8,nan
3/14/2022 9:57:54,45,3.94,1,1,Pellet,Left,9,4,9,2
3/14/2022 9:58:38,45,3.94,0,1,Poke,Left,10,4,9,nan
3/14/2022 9:58:55,45,3.93,2,1,Pellet,Left,10,4,10,6
3/14/2022 9:59:28,45,3.94,0,1,Poke,Left,10,5,10,nan
3/14/2022 10:00:24,45,3.93,0,1,Poke,Left,10,6,10,nan
3/14/2022 10:00:28,45,3.94,0,1,Poke,Left,10,7,10,nan
3/14/2022 10:00:31,45,3.94,0,1,Poke,Left,11,7,10,nan
3/14/2022 10:00:47,45,3.93,2,1,Pellet,Left,11,7,11,7
3/14/2022 10:04:06,45,3.94,0,1,Poke,Left,11,8,11,nan
3/14/2022 10:04:08,45,3.94,0,1,Poke,Left,12,8,11,nan
3/14/2022 10:04:29,45,3.93,3,1,Pellet,Left,12,8,12,8
3/14/2022 10:07:18,45,3.93,0,1,Poke,Left,12,9,12,nan
3/14/2022 10:07:21,45,3.93,0,1,Poke,Left,13,9,12,nan
3/14/2022 10:07:29,45,3.94,1,1,Pellet,Left,13,9,13,5
3/14/2022 10:12:01,45,3.94,0,1,Poke,Left,14,9,13,nan
3/14/2022 10:12:10,45,3.93,1,1,Pellet,Left,14,9,14,3
3/14/2022 10:14:59,45,3.94,0,1,Poke,Left,15,9,14,nan
3/14/2022 10:15:22,45,3.93,2,1,Pellet,Left,15,9,15,14
3/14/2022 10:17:36,45,3.93,0,1,Poke,Left,15,10,15,nan
3/14/2022 10:17:37,45,3.94,0,1,Poke,Left,16,10,15,nan
3/14/2022 10:17:46,45,3.94,1,1,Pellet,Left,16,10,16,1
3/14/2022 10:18:35,45,3.93,0,1,Poke,Left,17,10,16,nan
3/14/2022 10:18:40,45,3.93,1,1,Pellet,Left,17,10,17,1
